ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045807	positive regulation of endocytosis	6/267	96/18614	0.00259975992024445	0.0179336166134681	0.0125286037878957	SERPINE1/CLN3/CD14/WNT5A/PLCG2/LRRK2	6
BP	GO:0042542	response to hydrogen peroxide	7/267	129/18614	0.00261468914974505	0.0180038668496056	0.0125776813049155	IL6/TNFAIP3/NQO1/NR4A3/MMP2/LRRK2/IL10	7
BP	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	5/267	67/18614	0.00273751143896784	0.0188154318830507	0.0131446487477517	IL6/IL18/KIT/HES1/OSM	5
BP	GO:0032634	interleukin-5 production	3/267	20/18614	0.00277690376674874	0.0189830142180986	0.0132617234417702	LEF1/GATA3/CRLF2	3
BP	GO:0032674	regulation of interleukin-5 production	3/267	20/18614	0.00277690376674874	0.0189830142180986	0.0132617234417702	LEF1/GATA3/CRLF2	3
BP	GO:0140131	positive regulation of lymphocyte chemotaxis	3/267	20/18614	0.00277690376674874	0.0189830142180986	0.0132617234417702	NEDD9/WNT5A/CCR2	3
BP	GO:0045670	regulation of osteoclast differentiation	5/267	68/18614	0.00292079743817725	0.019930765252598	0.013923831785934	TNFRSF11B/NEDD9/FOS/TNFAIP6/CCR1	5
BP	GO:0022604	regulation of cell morphogenesis	10/267	245/18614	0.00292704949295761	0.0199375687186376	0.0139285847553005	CXCR4/WNT5A/CCL2/HCK/KIT/VIL1/CCL24/ITGB2/FGR/ARHGAP15	10
BP	GO:0070997	neuron death	13/267	373/18614	0.00296594632515175	0.0201663088846339	0.0140883849212075	BTG2/NQO1/CLN3/NR4A2/FOS/NR4A3/WNT5A/CCL2/SORL1/ITGB2/GATA3/LRRK2/IL10	13
BP	GO:0021983	pituitary gland development	4/267	42/18614	0.00301917338064451	0.0203821064166642	0.0142391432336821	CDH1/WNT5A/HES1/NOG	4
BP	GO:0042119	neutrophil activation	4/267	42/18614	0.00301917338064451	0.0203821064166642	0.0142391432336821	IL18/CXCL6/PTAFR/ITGB2	4
BP	GO:0045124	regulation of bone resorption	4/267	42/18614	0.00301917338064451	0.0203821064166642	0.0142391432336821	IL6/TNFAIP3/TNFRSF11B/HAMP	4
BP	GO:1900274	regulation of phospholipase C activity	4/267	42/18614	0.00301917338064451	0.0203821064166642	0.0142391432336821	S1PR4/KIT/C5AR1/PTAFR	4
BP	GO:0032386	regulation of intracellular transport	12/267	332/18614	0.00317181920750723	0.0213373079058145	0.014906456539922	CDH1/GZMB/PTGS2/TRIM58/IL1B/IER3/SORL1/LCP1/APOD/ITGB2/RAC2/LRRK2	12
BP	GO:0030728	ovulation	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	PTGS2/TNFAIP6/MMP2	3
BP	GO:0032616	interleukin-13 production	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	IL18/LEF1/GATA3	3
BP	GO:0032656	regulation of interleukin-13 production	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	IL18/LEF1/GATA3	3
BP	GO:0060252	positive regulation of glial cell proliferation	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	IL6/SLC7A5/IL1B	3
BP	GO:0071605	monocyte chemotactic protein-1 production	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	IL1B/CLEC7A/APOD	3
BP	GO:0071637	regulation of monocyte chemotactic protein-1 production	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	IL1B/CLEC7A/APOD	3
BP	GO:1903206	negative regulation of hydrogen peroxide-induced cell death	3/267	21/18614	0.00320565775074176	0.0213373079058145	0.014906456539922	NR4A3/LRRK2/IL10	3
BP	GO:0034599	cellular response to oxidative stress	11/267	290/18614	0.0032371167044225	0.021508968085077	0.0150263800566612	IL6/TNFAIP3/NQO1/MMP9/NR4A2/FOS/NR4A3/NCF1/MMP2/LRRK2/IL10	11
BP	GO:0045732	positive regulation of protein catabolic process	9/267	209/18614	0.00329109180989252	0.02172047859497	0.0151741434126278	TRIB1/TNFAIP3/WNT5A/HAMP/IL1B/IER3/SORL1/NKD1/LRRK2	9
BP	GO:0014002	astrocyte development	4/267	43/18614	0.00329184902269577	0.02172047859497	0.0151741434126278	IL6/IL1B/C5AR1/S100A8	4
BP	GO:0032735	positive regulation of interleukin-12 production	4/267	43/18614	0.00329184902269577	0.02172047859497	0.0151741434126278	TLR2/PLCG2/CLEC7A/SCIMP	4
BP	GO:0060412	ventricular septum morphogenesis	4/267	43/18614	0.00329184902269577	0.02172047859497	0.0151741434126278	HEY1/WNT5A/HES1/NOG	4
BP	GO:0030514	negative regulation of BMP signaling pathway	5/267	70/18614	0.00331371341857362	0.0218267859549797	0.0152484107967259	WNT5A/SORL1/TNFAIP6/NOG/GDF3	5
BP	GO:0002262	myeloid cell homeostasis	8/267	171/18614	0.00332811382063894	0.0218836461620522	0.0152881339056259	IL6/ID2/ZFP36/HAMP/TRIM58/KIT/IKZF1/GATA3	8
BP	GO:0001837	epithelial to mesenchymal transition	8/267	172/18614	0.00344826089097757	0.0226344322151711	0.0158126405454043	IL6/HEY1/LEF1/WNT5A/IL1B/NOG/S100A4/GATA3	8
BP	GO:0030316	osteoclast differentiation	6/267	102/18614	0.0035174820830405	0.0230489240467283	0.0161022086812035	TNFRSF11B/JUNB/NEDD9/FOS/TNFAIP6/CCR1	6
BP	GO:0072538	T-helper 17 type immune response	4/267	44/18614	0.00358082412251672	0.0234235288290145	0.0163639113257661	IL6/JUNB/NFKBIZ/CLEC7A	4
BP	GO:0007498	mesoderm development	7/267	137/18614	0.00365458220677469	0.0236984020453567	0.0165559405016808	ETS2/LEF1/WNT5A/HCK/NOG/GDF3/IKZF1	7
BP	GO:0035270	endocrine system development	7/267	137/18614	0.00365458220677469	0.0236984020453567	0.0165559405016808	IL6/CDH1/WNT5A/TUBB1/HES1/NOG/GATA3	7
BP	GO:0032928	regulation of superoxide anion generation	3/267	22/18614	0.00367281507714015	0.0236984020453567	0.0165559405016808	CLEC7A/ITGB2/FPR2	3
BP	GO:0045061	thymic T cell selection	3/267	22/18614	0.00367281507714015	0.0236984020453567	0.0165559405016808	CD3D/PTPRC/GATA3	3
BP	GO:0045624	positive regulation of T-helper cell differentiation	3/267	22/18614	0.00367281507714015	0.0236984020453567	0.0165559405016808	IL18/NFKBIZ/NLRP3	3
BP	GO:0051767	nitric-oxide synthase biosynthetic process	3/267	22/18614	0.00367281507714015	0.0236984020453567	0.0165559405016808	TLR2/CCL2/LRRK2	3
BP	GO:0051769	regulation of nitric-oxide synthase biosynthetic process	3/267	22/18614	0.00367281507714015	0.0236984020453567	0.0165559405016808	TLR2/CCL2/LRRK2	3
BP	GO:0060713	labyrinthine layer morphogenesis	3/267	22/18614	0.00367281507714015	0.0236984020453567	0.0165559405016808	SOCS3/LEF1/IL10	3
BP	GO:0032715	negative regulation of interleukin-6 production	5/267	72/18614	0.00374329495947287	0.0240633062226844	0.0168108662066752	TNFAIP3/ORM1/NLRP12/HAVCR2/IL10	5
BP	GO:0071214	cellular response to abiotic stimulus	12/267	339/18614	0.00374839588234225	0.0240633062226844	0.0168108662066752	MMP9/CLN3/CARD16/PTGS2/HAMP/IL1B/NLRP3/MMP2/PTAFR/CASP1/RCSD1/GATA3	12
BP	GO:0104004	cellular response to environmental stimulus	12/267	339/18614	0.00374839588234225	0.0240633062226844	0.0168108662066752	MMP9/CLN3/CARD16/PTGS2/HAMP/IL1B/NLRP3/MMP2/PTAFR/CASP1/RCSD1/GATA3	12
BP	GO:0033674	positive regulation of kinase activity	14/267	430/18614	0.00382848600952626	0.024535939054295	0.0171410522261507	TGFA/HBEGF/CASS4/IL18/NEDD9/NCF1/WNT5A/IL1B/KIT/SOCS1/PIK3CG/PTPRC/FGR/LRRK2	14
BP	GO:0032479	regulation of type I interferon production	6/267	104/18614	0.00387117206995864	0.0247259711000389	0.0172738105124151	TLR2/CD14/PLCG2/RNF125/HAVCR2/IL10	6
BP	GO:0032606	type I interferon production	6/267	104/18614	0.00387117206995864	0.0247259711000389	0.0172738105124151	TLR2/CD14/PLCG2/RNF125/HAVCR2/IL10	6
BP	GO:1903307	positive regulation of regulated secretory pathway	4/267	45/18614	0.00388655163306557	0.0247457145050543	0.017287603452467	PTAFR/ITGB2/VAMP8/FGR	4
BP	GO:0048762	mesenchymal cell differentiation	10/267	255/18614	0.0038873078136564	0.0247457145050543	0.017287603452467	IL6/HEY1/LEF1/WNT5A/EDNRB/IL1B/HES1/NOG/S100A4/GATA3	10
BP	GO:0010634	positive regulation of epithelial cell migration	8/267	176/18614	0.00396284854544559	0.0251491540516413	0.0175694503515336	MMP9/HBEGF/WNT5A/PTGS2/PLCG2/PIK3CG/VIL1/GATA3	8
BP	GO:0043491	protein kinase B signaling	9/267	215/18614	0.00396394151894609	0.0251491540516413	0.0175694503515336	HBEGF/CASS4/IL18/CCL2/NTS/IL1B/OSM/PIK3CG/GATA3	9
BP	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	7/267	140/18614	0.00411641959440198	0.02607294814885	0.0182148221398896	ADGRG3/PTHLH/ADGRE2/PF4/GNG2/ADGRG6/CALCRL	7
BP	GO:0006979	response to oxidative stress	14/267	434/18614	0.00415245887063814	0.0262092738041491	0.0183100606050682	IL6/TNFAIP3/NQO1/MMP9/NR4A2/UCP2/FOS/NR4A3/NCF1/PTGS2/MMP2/APOD/LRRK2/IL10	14
BP	GO:0061042	vascular wound healing	3/267	23/18614	0.00417939131563263	0.0262092738041491	0.0183100606050682	TNFAIP3/SERPINE1/CXCR4	3
BP	GO:0072574	hepatocyte proliferation	3/267	23/18614	0.00417939131563263	0.0262092738041491	0.0183100606050682	IL6/TNFAIP3/TGFA	3
BP	GO:0072575	epithelial cell proliferation involved in liver morphogenesis	3/267	23/18614	0.00417939131563263	0.0262092738041491	0.0183100606050682	IL6/TNFAIP3/TGFA	3
BP	GO:1900120	regulation of receptor binding	3/267	23/18614	0.00417939131563263	0.0262092738041491	0.0183100606050682	MMP9/NOG/IL10	3
BP	GO:1901032	negative regulation of response to reactive oxygen species	3/267	23/18614	0.00417939131563263	0.0262092738041491	0.0183100606050682	NR4A3/LRRK2/IL10	3
BP	GO:0019216	regulation of lipid metabolic process	12/267	344/18614	0.00420979344577123	0.0263228911353036	0.0183894348080611	ID2/RUBCNL/NR4A3/RARRES2/PTGS2/PLCG2/IL1B/KIT/SORL1/PIK3CG/APOD/FGR	12
BP	GO:0003281	ventricular septum development	5/267	74/18614	0.00421138506039254	0.0263228911353036	0.0183894348080611	HEY1/WNT5A/HES1/NOG/GATA3	5
BP	GO:2001056	positive regulation of cysteine-type endopeptidase activity	7/267	142/18614	0.00444800915493148	0.0277561623911349	0.0193907324309513	NLRP12/LCK/CLEC7A/NLRP3/NLRP6/CASP1/S100A8	7
BP	GO:0042058	regulation of epidermal growth factor receptor signaling pathway	5/267	75/18614	0.00446044409449464	0.0277880540139781	0.0194130122373822	MMP9/TGFA/HBEGF/NCF1/CDH13	5
BP	GO:0051607	defense response to virus	11/267	303/18614	0.00449810391792737	0.0279767315813385	0.0195448242715119	IL6/TNFAIP3/TLR2/TRIM22/IL1B/RNF125/PTPRC/NLRP6/CASP1/VAMP8/APOBEC3B	11
BP	GO:0002861	regulation of inflammatory response to antigenic stimulus	4/267	47/18614	0.00455003976514662	0.0282072726617096	0.0197058825741988	HCK/NLRP6/FGR/IL10	4
BP	GO:0061383	trabecula morphogenesis	4/267	47/18614	0.00455003976514662	0.0282072726617096	0.0197058825741988	HEY1/NOG/MMP2/ADGRG6	4
BP	GO:0140546	defense response to symbiont	11/267	304/18614	0.0046093171671255	0.0285281392040361	0.019930043147286	IL6/TNFAIP3/TLR2/TRIM22/IL1B/RNF125/PTPRC/NLRP6/CASP1/VAMP8/APOBEC3B	11
BP	GO:0002320	lymphoid progenitor cell differentiation	3/267	24/18614	0.0047263342107498	0.0290157152032116	0.0202706686129586	KIT/HES1/GATA3	3
BP	GO:0045932	negative regulation of muscle contraction	3/267	24/18614	0.0047263342107498	0.0290157152032116	0.0202706686129586	PTGS2/PIK3CG/CALCRL	3
BP	GO:0048143	astrocyte activation	3/267	24/18614	0.0047263342107498	0.0290157152032116	0.0202706686129586	IL6/IL1B/C5AR1	3
BP	GO:0071676	negative regulation of mononuclear cell migration	3/267	24/18614	0.0047263342107498	0.0290157152032116	0.0202706686129586	CCL2/RIPOR2/APOD	3
BP	GO:0072576	liver morphogenesis	3/267	24/18614	0.0047263342107498	0.0290157152032116	0.0202706686129586	IL6/TNFAIP3/TGFA	3
BP	GO:1904035	regulation of epithelial cell apoptotic process	6/267	109/18614	0.00487021080633569	0.0298506943444873	0.020853993385517	IL6/TNFAIP3/SERPINE1/ZFP36/CCL2/GATA3	6
BP	GO:0032620	interleukin-17 production	4/267	48/18614	0.00490866935389711	0.0299895193698641	0.0209509779356097	IL6/IL18/SLC7A5/OSM	4
BP	GO:0032660	regulation of interleukin-17 production	4/267	48/18614	0.00490866935389711	0.0299895193698641	0.0209509779356097	IL6/IL18/SLC7A5/OSM	4
BP	GO:0006809	nitric oxide biosynthetic process	5/267	77/18614	0.00498972914970987	0.0303868898780084	0.0212285849437686	NQO1/PTGS2/IL1B/CLEC7A/IL10	5
BP	GO:0021536	diencephalon development	5/267	77/18614	0.00498972914970987	0.0303868898780084	0.0212285849437686	NR4A2/CDH1/WNT5A/HES1/NOG	5
BP	GO:0043409	negative regulation of MAPK cascade	8/267	183/18614	0.00500391418648731	0.0304244397813026	0.0212548176814694	DUSP2/DUSP6/NLRP12/IL1B/SORL1/CHRNA9/PTPRC/NLRP6	8
BP	GO:0031341	regulation of cell killing	6/267	110/18614	0.00509079393897355	0.030903155527145	0.0215892532856175	CXCL6/CD1D/CLEC7A/PTPRC/KLRB1/HAVCR2	6
BP	GO:0090066	regulation of anatomical structure size	15/267	492/18614	0.00512442075078691	0.0310575915790504	0.0216971438548536	CLN3/CDH1/WAS/WNT5A/EDNRB/UTS2/PTGS2/NTS/HCK/VIL1/MMP2/HRH2/CCL24/PLEK/LRRK2	15
BP	GO:0048469	cell maturation	8/267	184/18614	0.00516825734359094	0.0312733147712664	0.021847850232791	NR4A2/EDNRB/TRIM58/HES1/CLEC7A/REN/GATA3/LRRK2	8
BP	GO:0002437	inflammatory response to antigenic stimulus	5/267	78/18614	0.0052704075481141	0.031753245718311	0.0221831347886433	HCK/NLRP6/FGR/GATA3/IL10	5
BP	GO:0070373	negative regulation of ERK1 and ERK2 cascade	5/267	78/18614	0.0052704075481141	0.031753245718311	0.0221831347886433	DUSP6/NLRP12/CHRNA9/PTPRC/NLRP6	5
BP	GO:0046850	regulation of bone remodeling	4/267	49/18614	0.00528578866807859	0.031753245718311	0.0221831347886433	IL6/TNFAIP3/TNFRSF11B/HAMP	4
BP	GO:0034114	regulation of heterotypic cell-cell adhesion	3/267	25/18614	0.0053145258384627	0.031753245718311	0.0221831347886433	IL1B/LCK/IL10	3
BP	GO:0045649	regulation of macrophage differentiation	3/267	25/18614	0.0053145258384627	0.031753245718311	0.0221831347886433	TRIB1/ID2/PF4	3
BP	GO:0046641	positive regulation of alpha-beta T cell proliferation	3/267	25/18614	0.0053145258384627	0.031753245718311	0.0221831347886433	IL18/CCR2/PTPRC	3
BP	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	3/267	25/18614	0.0053145258384627	0.031753245718311	0.0221831347886433	IL6/PTAFR/ITGB2	3
BP	GO:2000114	regulation of establishment of cell polarity	3/267	25/18614	0.0053145258384627	0.031753245718311	0.0221831347886433	DOCK8/RIPOR2/GATA3	3
BP	GO:0044000	movement in host	8/267	185/18614	0.00533669906671565	0.0318355916023887	0.0222406624461933	ANPEP/CXCR4/TRIM22/TRIM58/SLC10A1/CLEC5A/TMPRSS4/VAMP8	8
BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	6/267	112/18614	0.00555383042787607	0.0330788581528443	0.0231092208830735	IL18/NCF1/KIT/OSM/PIK3AP1/FGR	6
BP	GO:0007162	negative regulation of cell adhesion	11/267	312/18614	0.00557982415695264	0.033181587541502	0.0231809886606282	SERPINE1/CDH1/SOCS1/RIPOR2/TNFAIP8L2/PTPRC/MMP2/APOD/HAVCR2/IL10/CDH13	11
BP	GO:0030195	negative regulation of blood coagulation	4/267	50/18614	0.00568181186122996	0.033550873976319	0.0234389758544991	SERPINE1/THBD/SERPINB2/PLAU	4
BP	GO:0090102	cochlea development	4/267	50/18614	0.00568181186122996	0.033550873976319	0.0234389758544991	WNT5A/HES1/GRHL3/GATA3	4
BP	GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	4/267	50/18614	0.00568181186122996	0.033550873976319	0.0234389758544991	TNFAIP3/ITPRIP/SERPINE1/TMC8	4
BP	GO:0071772	response to BMP	8/267	187/18614	0.00568613915834821	0.033550873976319	0.0234389758544991	LEF1/WNT5A/HES1/SORL1/TNFAIP6/NOG/GDF3/GATA3	8
BP	GO:0071773	cellular response to BMP stimulus	8/267	187/18614	0.00568613915834821	0.033550873976319	0.0234389758544991	LEF1/WNT5A/HES1/SORL1/TNFAIP6/NOG/GDF3/GATA3	8
BP	GO:0051966	regulation of synaptic transmission, glutamatergic	5/267	80/18614	0.00586495738293846	0.0344343712779382	0.0240561958987455	CLN3/PTGS2/CCL2/CCR2/LRRK2	5
BP	GO:0070227	lymphocyte apoptotic process	5/267	80/18614	0.00586495738293846	0.0344343712779382	0.0240561958987455	CD27/NFKBIZ/WNT5A/DOCK8/IL10	5
BP	GO:0009314	response to radiation	14/267	452/18614	0.00589773416900349	0.0344343712779382	0.0240561958987455	ID2/MMP9/BHLHE40/CARD16/THBD/FOS/PTGS2/HAMP/KIT/GTF2H2/NOG/PTPRC/MMP2/GATA3	14
BP	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	HCK/PTPRC/FGR	3
BP	GO:0033598	mammary gland epithelial cell proliferation	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	ID2/WNT5A/GATA3	3
BP	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	HCK/PTPRC/FGR	3
BP	GO:0045672	positive regulation of osteoclast differentiation	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	NEDD9/FOS/CCR1	3
BP	GO:0046629	gamma-delta T cell activation	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	LEF1/PTPRC/TRGC2	3
BP	GO:0050995	negative regulation of lipid catabolic process	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	IL1B/SORL1/PIK3CG	3
BP	GO:0060343	trabecula formation	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	HEY1/MMP2/ADGRG6	3
BP	GO:0060740	prostate gland epithelium morphogenesis	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	WNT5A/NOG/MMP2	3
BP	GO:1905523	positive regulation of macrophage migration	3/267	26/18614	0.00594478470929086	0.0344343712779382	0.0240561958987455	RARRES2/C5AR1/C3AR1	3
BP	GO:2000377	regulation of reactive oxygen species metabolic process	7/267	150/18614	0.00597961503966274	0.0345490176613901	0.0241362890079573	BCO2/PLCG2/IER3/CLEC7A/ITGB2/RAC2/FPR2	7
BP	GO:0009914	hormone transport	11/267	315/18614	0.00598278982697241	0.0345490176613901	0.0241362890079573	IL6/SLC7A5/UCP2/TUBB1/IL1B/OSM/FFAR2/REN/VAMP8/IL11/GATA3	11
BP	GO:0007173	epidermal growth factor receptor signaling pathway	6/267	114/18614	0.00604693887172311	0.0348134841871282	0.0243210479658155	MMP9/TGFA/HBEGF/NCF1/VIL1/CDH13	6
BP	GO:0031532	actin cytoskeleton reorganization	6/267	114/18614	0.00604693887172311	0.0348134841871282	0.0243210479658155	CASS4/NEDD9/ARHGDIB/HCK/KIT/PLEK	6
BP	GO:0032868	response to insulin	10/267	272/18614	0.00607660314908252	0.0349312611327562	0.0244033281170491	EGR2/SOCS3/TLR2/UCP2/FOS/RARRES2/IL1B/SORL1/SOCS1/IL10	10
BP	GO:0061082	myeloid leukocyte cytokine production	4/267	51/18614	0.00609714446894606	0.0349434533461954	0.0244118457192021	NR4A3/WNT5A/PLCG2/KIT	4
BP	GO:1900047	negative regulation of hemostasis	4/267	51/18614	0.00609714446894606	0.0349434533461954	0.0244118457192021	SERPINE1/THBD/SERPINB2/PLAU	4
BP	GO:0042176	regulation of protein catabolic process	12/267	361/18614	0.00612993006634887	0.0350783630041141	0.0245060949544597	TRIB1/TNFAIP3/NQO1/CDH1/WNT5A/HAMP/IL1B/IER3/SORL1/NKD1/LRRK2/IL10	12
BP	GO:0006816	calcium ion transport	14/267	455/18614	0.00623888348039722	0.0356480781997395	0.0249041036836401	SCN3A/CXCR4/EDNRB/PTGS2/TMEM37/CCL2/PLCG2/HES1/CHRNA9/LCK/PIK3CG/CCR1/PTPRC/CALCRL	14
BP	GO:0050890	cognition	11/267	317/18614	0.00626392452749676	0.0357373378305605	0.0249664613537584	BTG2/EGR2/TLR2/CLN3/NEDD9/FOS/PTGS2/KIT/NOG/C5AR1/NRGN	11
BP	GO:0001890	placenta development	7/267	152/18614	0.00641747960418577	0.0365584348622835	0.0255400879458507	SOCS3/JUNB/HEY1/LEF1/PTGS2/HES1/IL10	7
BP	GO:0050848	regulation of calcium-mediated signaling	5/267	82/18614	0.00650524230155582	0.0369474390600341	0.025811850165959	PLCG2/CLEC7A/PLEK/LRRK2/CDH13	5
BP	GO:1901184	regulation of ERBB signaling pathway	5/267	82/18614	0.00650524230155582	0.0369474390600341	0.025811850165959	MMP9/TGFA/HBEGF/NCF1/CDH13	5
BP	GO:0002715	regulation of natural killer cell mediated immunity	4/267	52/18614	0.00653218316911735	0.0370449969262051	0.0258800050662221	CD96/SH2D1B/KLRB1/HAVCR2	4
BP	GO:0021700	developmental maturation	11/267	319/18614	0.00655534321879891	0.0371208539882434	0.0259329995678486	NR4A2/WNT5A/EDNRB/TRIM58/HES1/CLEC7A/MMP2/REN/LYL1/GATA3/LRRK2	11
BP	GO:0010818	T cell chemotaxis	3/267	27/18614	0.00661786781908264	0.0371973192675549	0.0259864189761405	WNT5A/PIK3CG/CCR2	3
BP	GO:0032682	negative regulation of chemokine production	3/267	27/18614	0.00661786781908264	0.0371973192675549	0.0259864189761405	IL6/APOD/IL10	3
BP	GO:0042832	defense response to protozoan	3/267	27/18614	0.00661786781908264	0.0371973192675549	0.0259864189761405	PF4/CLEC7A/IL10	3
BP	GO:0060669	embryonic placenta morphogenesis	3/267	27/18614	0.00661786781908264	0.0371973192675549	0.0259864189761405	SOCS3/LEF1/IL10	3
BP	GO:2000737	negative regulation of stem cell differentiation	3/267	27/18614	0.00661786781908264	0.0371973192675549	0.0259864189761405	ZFP36/BBS12/HES1	3
BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	8/267	192/18614	0.00663605193096405	0.0372443506302923	0.0260192755561624	CARD16/TRIM22/TRIM58/IL1B/CLEC7A/S100A4/CLEC4D/CASP1	8
BP	GO:0007611	learning or memory	10/267	276/18614	0.00670971264055594	0.0376021414450063	0.0262692317949465	BTG2/EGR2/TLR2/CLN3/NEDD9/FOS/PTGS2/KIT/NOG/NRGN	10
BP	GO:0071887	leukocyte apoptotic process	6/267	117/18614	0.00684537307772665	0.0383058192579571	0.0267608281473618	IL6/CD27/NFKBIZ/WNT5A/DOCK8/IL10	6
BP	GO:0002639	positive regulation of immunoglobulin production	4/267	53/18614	0.00698731556058488	0.039042526122031	0.0272754989249713	IL6/PTPRC/SASH3/IL10	4
BP	GO:0017157	regulation of exocytosis	8/267	194/18614	0.00704793041402954	0.0393233058688648	0.0274716544621151	ADGRE2/CCR2/PTAFR/ITGB2/VAMP8/RAC2/FGR/LRRK2	8
BP	GO:0090316	positive regulation of intracellular protein transport	7/267	155/18614	0.00711848347494377	0.0395938811510753	0.0276606810582936	CDH1/GZMB/PTGS2/IL1B/SORL1/ITGB2/RAC2	7
BP	GO:0030510	regulation of BMP signaling pathway	6/267	118/18614	0.0071277334808077	0.0395938811510753	0.0276606810582936	WNT5A/HES1/SORL1/TNFAIP6/NOG/GDF3	6
BP	GO:0051702	biological process involved in interaction with symbiont	6/267	118/18614	0.0071277334808077	0.0395938811510753	0.0276606810582936	TREM1/CXCL6/LEF1/PF4/NLRP6/MPEG1	6
BP	GO:0061515	myeloid cell development	5/267	84/18614	0.00719301164862717	0.0398980792322975	0.0278731968778751	TLR2/TRIM58/KIT/FLI1/EVI2B	5
BP	GO:0071900	regulation of protein serine/threonine kinase activity	12/267	369/18614	0.00724617239435063	0.0400965262663049	0.0280118339590367	TRIB1/TNFAIP3/TGFA/WNT5A/CHORDC1/IL1B/KIT/SORL1/PKIB/PIK3CG/PTPRC/LRRK2	12
BP	GO:0001702	gastrulation with mouth forming second	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	ETS2/WNT5A/GDF3	3
BP	GO:0010758	regulation of macrophage chemotaxis	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	RARRES2/C5AR1/C3AR1	3
BP	GO:0030194	positive regulation of blood coagulation	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	SERPINE1/THBD/PLAU	3
BP	GO:0032878	regulation of establishment or maintenance of cell polarity	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	DOCK8/RIPOR2/GATA3	3
BP	GO:0032958	inositol phosphate biosynthetic process	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	PLCG2/PTAFR/PLEK	3
BP	GO:0036037	CD8-positive, alpha-beta T cell activation	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	SOCS1/TNFSF8/WDFY4	3
BP	GO:0060512	prostate gland morphogenesis	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	WNT5A/NOG/MMP2	3
BP	GO:1900048	positive regulation of hemostasis	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	SERPINE1/THBD/PLAU	3
BP	GO:1902883	negative regulation of response to oxidative stress	3/267	28/18614	0.00733447264860718	0.0400965262663049	0.0280118339590367	NR4A3/LRRK2/IL10	3
BP	GO:1903531	negative regulation of secretion by cell	7/267	156/18614	0.00736430821941866	0.040143944517923	0.028044960823497	UCP2/IL1B/OSM/FFAR2/CCR2/VAMP8/IL11	7
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	7/267	156/18614	0.00736430821941866	0.040143944517923	0.028044960823497	TNFAIP3/ITPRIP/SERPINE1/IL1B/PF4/PTPRC/TMC8	7
BP	GO:0021782	glial cell development	6/267	119/18614	0.00741842697211584	0.0403809353403264	0.0282105249804239	IL6/TLR2/IL1B/C5AR1/ADGRG6/S100A8	6
BP	GO:0014009	glial cell proliferation	4/267	54/18614	0.00746291995954062	0.0405068931709544	0.0282985203796752	IL6/SLC7A5/IL1B/HES1	4
BP	GO:0050819	negative regulation of coagulation	4/267	54/18614	0.00746291995954062	0.0405068931709544	0.0282985203796752	SERPINE1/THBD/SERPINB2/PLAU	4
BP	GO:0010631	epithelial cell migration	12/267	371/18614	0.00754881053547139	0.0409145531022549	0.0285833156816796	MMP9/CLN3/HBEGF/WNT5A/PTGS2/PLCG2/NR4A1/KIT/PIK3CG/VIL1/GATA3/CDH13	12
BP	GO:0051101	regulation of DNA binding	6/267	120/18614	0.00771758801105999	0.0417696560826842	0.0291806991693807	NFKBIA/MMP9/HEY1/LEF1/HES1/GATA3	6
